,Unnamed: 0,h_t,d_t,cloud,ISCCP,h_t_next,d_t_next,cloud_next,ISCCP_next,dh,dd,bincenter_h,bincenter_d
37963,37963,968.7784331092948,0.0769712821848664,cloud,2.0,923.8853635599588,0.8322667535833126,cloud,2.0,-44.89306954933602,0.7552954713984462,1000.0,0
38445,38445,1087.080227203415,0.0018545181423588,cloud,2.0,736.7699789853019,1.3865733921455727,cloud,5.0,-350.3102482181131,1.384718874003214,1000.0,0
38978,38978,1091.4408950116233,0.0164242632833252,cloud,2.0,1740.5667421123474,0.712124917707596,cloud,2.0,649.1258471007241,0.6957006544242708,1000.0,0
39186,39186,1034.925115606346,0.0091142253973198,cloud,2.0,1239.1339173721417,-0.7410907512699059,cloud,2.0,204.20880176579567,-0.7502049766672256,1000.0,0
39263,39263,1091.9230839008435,0.0380976099291742,cloud,2.0,1158.7959808080934,-0.6631108504030282,cloud,2.0,66.87289690724992,-0.7012084603322024,1000.0,0
40798,40798,1071.7916025350237,0.0860650926872824,cloud,2.0,662.2760123929444,0.1056187866822472,cloud,2.0,-409.5155901420793,0.019553693994964802,1000.0,0
41108,41108,861.4170588878046,0.0589529612881357,cloud,2.0,643.8420615980597,0.2144171560388563,cloud,2.0,-217.57499728974494,0.1554641947507206,1000.0,0
41775,41775,885.4616018765404,-0.0650880761341812,cloud,2.0,363.3805926305265,-0.4561897314242706,cloud,2.0,-522.0810092460139,-0.3911016552900894,1000.0,0
42481,42481,970.8064602236852,0.0395794758590226,cloud,2.0,373.78116479523095,-0.2384393178493005,cloud,2.0,-597.0252954284542,-0.2780187937083231,1000.0,0
43207,43207,856.1984046266438,0.0540414635335566,cloud,2.0,3679.085102875489,1.2861534646685544,cloud,6.0,2822.8866982488453,1.2321120011349977,1000.0,0
43288,43288,931.8250513707656,0.0137429749337416,cloud,2.0,8065.248356208878,0.8388462909884495,cloud,4.0,7133.423304838113,0.825103316054708,1000.0,0
43585,43585,878.0762503403187,-0.0371821531357541,cloud,2.0,611.7934839559763,0.6617947811510831,cloud,2.0,-266.2827663843424,0.6989769342868373,1000.0,0
44847,44847,1008.80825162602,0.0215023238605722,cloud,2.0,6504.335822667482,1.4723616644724649,cloud,6.0,5495.527571041462,1.4508593406118926,1000.0,0
45422,45422,878.3495922244364,0.0213363143681732,cloud,2.0,5347.782333435436,0.9661675415506844,cloud,3.0,4469.432741211,0.9448312271825112,1000.0,0
45557,45557,864.1277036186302,0.0500275169066713,cloud,2.0,2466.63038906306,0.5564334955284623,cloud,3.0,1602.50268544443,0.506405978621791,1000.0,0
46266,46266,1115.7505515937544,-0.1303606016991924,cloud,2.0,7830.667912681116,0.476037862101929,cloud,3.0,6714.917361087361,0.6063984638011214,1000.0,0
46618,46618,1043.882181688943,0.1270197063006652,cloud,2.0,1341.7095636086617,-0.285427446627994,cloud,2.0,297.8273819197186,-0.4124471529286592,1000.0,0
46620,46620,938.3449163216784,0.0094858198160707,cloud,2.0,8093.960179525002,1.517266089132942,cloud,7.0,7155.615263203324,1.5077802693168711,1000.0,0
46798,46798,1097.951407893757,-0.1401286251268595,cloud,2.0,1253.3633467501472,1.0851552874421009,cloud,2.0,155.41193885639018,1.2252839125689603,1000.0,0
46940,46940,873.4006270753301,-0.0320489287596317,cloud,2.0,879.2951183906163,-0.090288486166133,cloud,2.0,5.894491315286132,-0.058239557406501295,1000.0,0
46941,46941,879.2951183906163,-0.090288486166133,cloud,2.0,2780.675370556358,1.1217559098144452,cloud,3.0,1901.3802521657417,1.2120443959805782,1000.0,0
47725,47725,1006.0554697265444,0.0198160092524233,cloud,2.0,766.2659818130873,0.6266509436914052,cloud,2.0,-239.78948791345715,0.6068349344389818,1000.0,0
48503,48503,1069.7820095871332,0.1240058459689456,cloud,2.0,752.3609029741564,1.6846355557545585,cloud,5.0,-317.4211066129768,1.560629709785613,1000.0,0
48714,48714,1113.1868265740727,0.0770936236416212,cloud,2.0,599.5776838101506,0.8867912800426112,cloud,2.0,-513.6091427639221,0.80969765640099,1000.0,0
