,alpha1,beta1,flag
90,3.990812896462127,4.241812502032181,0.0
91,4.069500103322762,3.941635680399881,0.0
92,4.236599331504657,3.7068173427924425,0.0
93,4.271886609247652,3.4572209423505296,0.0
94,4.121995071498957,3.0853952109463174,0.0
95,5.30761707958019,3.455678605457887,0.0
96,7.804695386199211,4.227496359525764,0.0
97,8.712734455348041,4.192893632597139,0.0
98,12.52493432386437,5.108293538994511,0.0
99,17.612936141431966,6.069765805286398,0.0
100,17.055789185391532,5.067288050335402,0.0
101,15.107731456080927,3.9422959790365946,0.0
102,13.394070224852161,3.0503051573440816,0.0
103,4.7294969029583465,1.2385081784737297,0.0
104,1.494993931039503,14.147314496598808,0.0
105,1.7818454792604543,11.737619809000972,0.0
106,2.004109441987493,9.525427967116194,0.0
107,3.0343586418662185,12.434037171881371,0.0
108,3.1053941629149096,10.095192953242673,0.0
109,3.5880731342354233,9.823090353846688,0.0
110,3.8124870651317284,8.869072611605189,0.0
111,4.042456782169673,7.8885330083032885,0.0
112,4.4899836456480795,7.7983643126686255,0.0
113,5.8578116456280895,8.921578296694213,0.0
114,6.232892674888698,8.599920426352096,0.0
115,5.622232314685524,6.810091037350338,0.0
116,6.213616218595638,6.644334092707815,0.0
117,6.316056277817419,6.013828208867262,0.0
118,8.168602480324783,7.059387894192751,0.0
119,7.762780625039145,5.935647130806954,0.0
120,8.033611137988188,5.601914455191761,0.0
121,8.353679412430624,5.184034884096166,0.0
122,11.980599795444714,6.402461441766659,0.0
123,15.221001008958764,7.071682693107984,0.0
124,23.157757827960403,8.984189321932856,0.0
125,25.002283792603258,8.302482034817551,0.0
126,30.73849685508685,8.630674738738357,0.0
127,23.916658084847036,5.796115961865127,0.0
128,26.976552911801555,5.340352924906346,0.0
129,10.865275734421738,2.0035695792255774,0.0
130,1.6239856980065999,15.110537798453425,0.0
131,2.191736914564522,15.3530424374508,0.0
132,2.1268317922212487,10.019136505691353,0.0
133,3.3278769610824206,13.441555965927716,0.0
134,2.9309188234491637,9.417838613124792,0.0
135,3.432936691171606,9.041315579742713,0.0
136,4.35378973603007,10.145089651922683,0.0
137,4.046475533335677,8.562130058634722,0.0
138,5.920038356313235,10.74896029569051,0.0
139,5.235391265596629,8.25596388768435,0.0
140,5.218525853961866,6.90116015480092,0.0
141,7.103088535842856,8.54516948508206,0.0
142,7.987900380071888,8.752049008670872,0.0
143,7.939488166770124,7.749501670913448,0.0
144,8.386969596275826,7.143855102565736,0.0
145,7.989299329456315,6.288204338673339,0.0
146,9.48356305202854,6.5186085752925855,0.0
147,10.835417018378461,6.602267378623512,0.0
148,16.002780340166773,8.516847107510747,0.0
149,21.021028880090853,9.514608057025779,0.0
150,30.348796612316768,11.517024790731995,0.0
151,39.364123561377426,12.562740624265624,0.0
152,1.0,1.0,1.0
153,45.07449039196757,10.106419693500555,0.0
154,48.905061172236024,8.646091798508785,0.0
155,1.0,1.0,1.0
